ZCTA5CE10,GEOID10,CLASSFP10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,INTPTLAT10,INTPTLON10,min_dists_mi
"60501","60501",B5,G6350,S,"12532295","974360","+41.7802209","-087.8232440",6.98859707116937
"60007","60007",B5,G6350,S,"36493383","917560","+42.0086000","-087.9973398",15.6808930831575
"60651","60651",B5,G6350,S,"9052862","0","+41.9020934","-087.7408565",0.986746055553239
"60652","60652",B5,G6350,S,"12987857","0","+41.7479319","-087.7147951",1.41026130226198
"60653","60653",B5,G6350,S,"6041418","1696670","+41.8199645","-087.6059654",1.36220476427277
"60654","60654",B5,G6350,S,"1464813","113471","+41.8918225","-087.6383036",0.167730299744021
"60655","60655",B5,G6350,S,"11408010","0","+41.6947762","-087.7037764",3.89858568957036
"60656","60656",B5,G6350,S,"8465226","0","+41.9742800","-087.8271283",7.25653895245396
"60657","60657",B5,G6350,S,"5888324","2025836","+41.9402931","-087.6468569",1.60415758737934
"60659","60659",B5,G6350,S,"5251086","2818","+41.9914885","-087.7039859",2.93177485431784
"60660","60660",B5,G6350,S,"3304433","594256","+41.9911098","-087.6630763",1.85546814962494
"60661","60661",B5,G6350,S,"769673","0","+41.8830297","-087.6440993",0.846461374183905
"60706","60706",B5,G6350,S,"7660352","0","+41.9642573","-087.8162416",6.37946314117495
"60707","60707",B5,G6350,S,"9344803","0","+41.9218533","-087.8072815",4.56114900872721
"60712","60712",B5,G6350,S,"6888788","0","+42.0054325","-087.7332392",4.5775166729072
"60714","60714",B5,G6350,S,"16476596","0","+42.0280610","-087.8109682",8.55857378373738
"60803","60803",B5,G6350,S,"19625097","318959","+41.6740639","-087.7362222",5.92180683894105
"60804","60804",B5,G6350,S,"19824112","403177","+41.8375785","-087.7598510",1.94223208357122
"60805","60805",B5,G6350,S,"8826670","0","+41.7220014","-087.7024457",2.07556076572174
"60827","60827",B5,G6350,S,"18168423","1229640","+41.6494340","-087.6335719",2.61768256139119
"60068","60068",B5,G6350,S,"18367932","84149","+42.0117617","-087.8434336",9.43674976940038
"60076","60076",B5,G6350,S,"13865977","0","+42.0352596","-087.7299278",6.14215461994227
"60077","60077",B5,G6350,S,"10428197","0","+42.0347464","-087.7571875",6.93577692509796
"60453","60453",B5,G6350,S,"21901280","59","+41.7134365","-087.7525598",4.17366327787413
"60456","60456",B5,G6350,S,"1240338","0","+41.7312484","-087.7311338",2.59245802732008
"60459","60459",B5,G6350,S,"10868980","0","+41.7444315","-087.7685764",4.20037114369847
"60106","60106",B5,G6350,S,"23215118","261186","+41.9597007","-087.9418346",11.9774675480635
"60601","60601",B5,G6350,S,"934226","60682","+41.8856419","-087.6215226",0.8047928005164
"60602","60602",B5,G6350,S,"225477","0","+41.8830729","-087.6291484",0.713423916253568
"60603","60603",B5,G6350,S,"375296","0","+41.8801879","-087.6255095",0.971891738535121
"60604","60604",B5,G6350,S,"239758","0","+41.8780953","-087.6284611",1.05091462822209
"60605","60605",B5,G6350,S,"3225617","2037762","+41.8675665","-087.6172276",1.68359919020766
"60606","60606",B5,G6350,S,"569721","92503","+41.8825241","-087.6374269",0.755310075650638
"60607","60607",B5,G6350,S,"5928247","84715","+41.8748511","-087.6495693",1.04028362658867
"60608","60608",B5,G6350,S,"16322659","568481","+41.8468804","-087.6706636",1.3431023634096
"60609","60609",B5,G6350,S,"20050232","91903","+41.8126802","-087.6569347",1.29722326525765
"60610","60610",B5,G6350,S,"2997507","1177321","+41.9067723","-087.6322312",0.749641304489927
"60131","60131",B5,G6350,S,"14367541","0","+41.9387536","-087.8842661",8.6962060075252
"60171","60171",B5,G6350,S,"5847502","0","+41.9250465","-087.8383725",6.16856549815694
"60176","60176",B5,G6350,S,"6862639","0","+41.9581224","-087.8688828",8.43220914112923
"60018","60018",B5,G6350,S,"42576147","418358","+41.9867944","-087.9031110",11.0717165519388
"60611","60611",B5,G6350,S,"2113316","1527609","+41.8939359","-087.6144980",1.02403224020144
"60612","60612",B5,G6350,S,"9709578","0","+41.8803125","-087.6877424",1.11511777620322
"60613","60613",B5,G6350,S,"5632040","1114040","+41.9569485","-087.6542721",0.431446735267795
"60614","60614",B5,G6350,S,"8079992","864324","+41.9227137","-087.6495775",1.26140500731558
"60615","60615",B5,G6350,S,"5729807","1663610","+41.8016473","-087.5962879",1.08633265067938
"60616","60616",B5,G6350,S,"10354632","1602198","+41.8448829","-087.6240323",0.0577393335854046
"60617","60617",B5,G6350,S,"35874525","3883218","+41.7182009","-087.5520495",2.57669980673614
"60618","60618",B5,G6350,S,"12942882","165560","+41.9475679","-087.7026468",1.31484938376094
"60619","60619",B5,G6350,S,"15595537","0","+41.7436926","-087.6055232",0.94581921916625
"60620","60620",B5,G6350,S,"18349680","10662","+41.7404975","-087.6525582",0.538163696057388
"60621","60621",B5,G6350,S,"9656672","0","+41.7763818","-087.6395712",0.317994924400291
"60622","60622",B5,G6350,S,"6387557","10221","+41.9021720","-087.6833374",1.44912425893445
"60623","60623",B5,G6350,S,"13910985","224875","+41.8488968","-087.7176611",0.478979740142617
"60624","60624",B5,G6350,S,"9155264","14139","+41.8805038","-087.7244439",0.315820690530693
"60625","60625",B5,G6350,S,"10035097","87870","+41.9730757","-087.7003620",1.78159972016253
"60626","60626",B5,G6350,S,"4415534","1192512","+42.0100191","-087.6670946",3.1482966031568
"60628","60628",B5,G6350,S,"28281813","194243","+41.6908748","-087.6157730",0.386891462727353
"60629","60629",B5,G6350,S,"17617067","161565","+41.7758678","-087.7114956",2.16321335109646
"60630","60630",B5,G6350,S,"12365866","3028","+41.9720714","-087.7565695",4.25776725823351
"60643","60643",B5,G6350,S,"19028781","32576","+41.7002727","-087.6632674",2.29257984155454
"60644","60644",B5,G6350,S,"9074673","24575","+41.8800843","-087.7563733",1.44202501304803
"60631","60631",B5,G6350,S,"9638689","0","+41.9948559","-087.8130024",7.5025737660734
"60632","60632",B5,G6350,S,"19250454","123030","+41.8101664","-087.7132518",2.2204863198554
"60633","60633",B5,G6350,S,"26638668","5008815","+41.6637834","-087.5613138",3.4968988220936
"60634","60634",B5,G6350,S,"18422008","24085","+41.9461885","-087.8061174",5.2140202535966
"60636","60636",B5,G6350,S,"10132437","0","+41.7757391","-087.6690640",0.991072597770193
"60637","60637",B5,G6350,S,"11729525","1853048","+41.7816213","-087.5998763",1.6618260665531
"60638","60638",B5,G6350,S,"28764922","0","+41.7814302","-087.7705205",4.80167491122579
"60645","60645",B5,G6350,S,"5847013","0","+42.0085584","-087.6947354",3.58978362092422
"60646","60646",B5,G6350,S,"11840698","0","+41.9930193","-087.7596273",5.00318848763792
"60647","60647",B5,G6350,S,"10420874","89620","+41.9212149","-087.7010284",1.42996138923814
"60649","60649",B5,G6350,S,"7586806","2576120","+41.7634204","-087.5658787",0.654511761759002
"60639","60639",B5,G6350,S,"12632836","0","+41.9205526","-087.7560542",2.08289214289645
"60640","60640",B5,G6350,S,"6236948","652940","+41.9728721","-087.6626039",0.586704661498371
"60641","60641",B5,G6350,S,"10468074","0","+41.9466057","-087.7467867",3.18422647680176
"60642","60642",B5,G6350,S,"4281374","207461","+41.9020418","-087.6585438",1.16888623733093
"60202","60202",B5,G6350,S,"7914320","1455196","+42.0303552","-087.6855489",4.78177925460838
"60302","60302",B5,G6350,S,"7803026","0","+41.8946081","-087.7897103",3.24799947382923
"60304","60304",B5,G6350,S,"3968561","0","+41.8723888","-087.7894845",2.88558216658775
"60305","60305",B5,G6350,S,"6411801","4794","+41.8948750","-087.8190635",4.73863762226336
"60402","60402",B5,G6350,S,"13646766","144650","+41.8352161","-087.7913729",3.51797856274479
"60406","60406",B5,G6350,S,"14376462","240125","+41.6549452","-087.6819519",3.82196456153337
"60409","60409",B5,G6350,S,"19273106","322264","+41.6136412","-087.5521219",6.26240125283628
"60419","60419",B5,G6350,S,"10889509","128522","+41.6291485","-087.5988195",4.25202827694747
